,sd
1000,{'ATLANTAFALCONS|CITY|ATLANTA'}
1002,{'ATLANTAFALCONS|CITY|ATLANTA'}
1030,"{'OREGON|CAPITAL|SALEM,OREGON', 'ALBANY,OREGON|ISPARTOF|OREGON'}"
1032,"{'OREGON|CAPITAL|SALEM,OREGON', 'ALBANY,OREGON|ISPARTOF|OREGON'}"
1198,{'ALISONODONNELL|GENRE|JAZZ'}
1200,{'ALISONODONNELL|GENRE|JAZZ'}
1202,"{'BINIGNIT|COURSE|DESSERT', 'PHILIPPINES|LANGUAGE|PHILIPPINEENGLISH', 'DESSERT|DISHVARIATION|SANDESH(CONFECTIONERY)', 'BINIGNIT|COUNTRY|PHILIPPINES'}"
1204,"{'BINIGNIT|COURSE|DESSERT', 'PHILIPPINES|LANGUAGE|PHILIPPINEENGLISH', 'DESSERT|DISHVARIATION|SANDESH(CONFECTIONERY)', 'BINIGNIT|COUNTRY|PHILIPPINES'}"
1304,"{'ASTERIX(COMICSCHARACTER)|CREATOR|RENEGOSCINNY', 'ASTERIX(COMICSCHARACTER)|CREATOR|ALBERTUDERZO', 'RENEGOSCINNY|NATIONALITY|FRENCHPEOPLE'}"
1306,"{'ASTERIX(COMICSCHARACTER)|CREATOR|RENEGOSCINNY', 'ASTERIX(COMICSCHARACTER)|CREATOR|ALBERTUDERZO', 'RENEGOSCINNY|NATIONALITY|FRENCHPEOPLE'}"
1308,"{'ASTERIX(COMICSCHARACTER)|CREATOR|RENEGOSCINNY', 'ASTERIX(COMICSCHARACTER)|CREATOR|ALBERTUDERZO', 'RENEGOSCINNY|NATIONALITY|FRENCHPEOPLE'}"
1408,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|UNIVERSALRECORDS(DEFUNCTRECORDLABEL)', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KAISERCHIEFS', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARRYBANILOW'}"
1410,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|UNIVERSALRECORDS(DEFUNCTRECORDLABEL)', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KAISERCHIEFS', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARRYBANILOW'}"
1412,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|UNIVERSALRECORDS(DEFUNCTRECORDLABEL)', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|KAISERCHIEFS', 'ANDREWWHITE(MUSICIAN)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|MARRYBANILOW'}"
1430,"{'ANDRA(SINGER)|GENRE|DANCE-POP', 'ANDRA(SINGER)|BIRTHPLACE|CAMPIATURZII', 'ANDRA(SINGER)|OCCUPATION|SINGER,REALITYTELEVISIONJUDGE', 'ANDRA(SINGER)|BACKGROUND|SOLOSINGER', 'ANDRA(SINGER)|BIRTHYEAR|1986'}"
1432,"{'ANDRA(SINGER)|GENRE|DANCE-POP', 'ANDRA(SINGER)|BIRTHPLACE|CAMPIATURZII', 'ANDRA(SINGER)|OCCUPATION|SINGER,REALITYTELEVISIONJUDGE', 'ANDRA(SINGER)|BACKGROUND|SOLOSINGER', 'ANDRA(SINGER)|BIRTHYEAR|1986'}"
1434,"{'ANDRA(SINGER)|GENRE|DANCE-POP', 'ANDRA(SINGER)|BIRTHPLACE|CAMPIATURZII', 'ANDRA(SINGER)|OCCUPATION|SINGER,REALITYTELEVISIONJUDGE', 'ANDRA(SINGER)|BACKGROUND|SOLOSINGER', 'ANDRA(SINGER)|BIRTHYEAR|1986'}"
1436,"{'A.S.LIVORNOCALCIO|GROUND|LIVORNO', 'A.S.LIVORNOCALCIO|LEAGUE|SERIEB'}"
1438,"{'A.S.LIVORNOCALCIO|GROUND|LIVORNO', 'A.S.LIVORNOCALCIO|LEAGUE|SERIEB'}"
1440,"{'A.S.LIVORNOCALCIO|GROUND|LIVORNO', 'A.S.LIVORNOCALCIO|LEAGUE|SERIEB'}"
1448,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
1450,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
1452,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
1454,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
1456,"{'BUZZALDRIN|ALMAMATER|MASSACHUSETTSINSTITUTEOFTECHNOLOGY,SC.D.1963'}"
1518,"{'AFORTRESSOFGREYICE|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
1520,"{'AFORTRESSOFGREYICE|COUNTRY|UNITEDSTATES', 'UNITEDSTATES|ETHNICGROUP|AFRICANAMERICANS'}"
1522,"{'ALPENACOUNTYREGIONALAIRPORT|RUNWAYNAME|1/19', 'ALPENACOUNTYREGIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|210', 'ALPENACOUNTYREGIONALAIRPORT|RUNWAYLENGTH|2744.0', 'ALPENACOUNTYREGIONALAIRPORT|CITYSERVED|ALPENA,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|LOCATION|WILSONTOWNSHIP,ALPENACOUNTY,MICHIGAN'}"
1524,"{'ALPENACOUNTYREGIONALAIRPORT|RUNWAYNAME|1/19', 'ALPENACOUNTYREGIONALAIRPORT|ELEVATIONABOVETHESEALEVEL(INMETRES)|210', 'ALPENACOUNTYREGIONALAIRPORT|RUNWAYLENGTH|2744.0', 'ALPENACOUNTYREGIONALAIRPORT|CITYSERVED|ALPENA,MICHIGAN', 'ALPENACOUNTYREGIONALAIRPORT|LOCATION|WILSONTOWNSHIP,ALPENACOUNTY,MICHIGAN'}"
1546,"{'AMSTERDAMAIRPORTSCHIPHOL|RUNWAYLENGTH|2014.0', 'AMSTERDAMAIRPORTSCHIPHOL|CITYSERVED|AMSTERDAM'}"
1570,"{'AIDALUNA|POWERTYPE|CATERPILLARINC.', 'CATERPILLARINC.|LOCATION|PEORIA,ILLINOIS', 'CATERPILLARINC.|KEYPERSON|DOUGLASR.OBERHELMAN', 'CATERPILLARINC.|FOUNDATIONPLACE|UNITEDSTATES', 'AIDALUNA|OWNER|AIDACRUISES'}"
1572,"{'AIDALUNA|POWERTYPE|CATERPILLARINC.', 'CATERPILLARINC.|LOCATION|PEORIA,ILLINOIS', 'CATERPILLARINC.|KEYPERSON|DOUGLASR.OBERHELMAN', 'CATERPILLARINC.|FOUNDATIONPLACE|UNITEDSTATES', 'AIDALUNA|OWNER|AIDACRUISES'}"
1574,"{'AIDALUNA|POWERTYPE|CATERPILLARINC.', 'CATERPILLARINC.|LOCATION|PEORIA,ILLINOIS', 'CATERPILLARINC.|KEYPERSON|DOUGLASR.OBERHELMAN', 'CATERPILLARINC.|FOUNDATIONPLACE|UNITEDSTATES', 'AIDALUNA|OWNER|AIDACRUISES'}"
1594,"{'ALANDERSON(NRBQBAND)|GENRE|ROCKMUSIC', 'ALANDERSON(NRBQBAND)|INSTRUMENT|SINGING', 'ALANDERSON(NRBQBAND)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|NRBQ'}"
1596,"{'ALANDERSON(NRBQBAND)|GENRE|ROCKMUSIC', 'ALANDERSON(NRBQBAND)|INSTRUMENT|SINGING', 'ALANDERSON(NRBQBAND)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|NRBQ'}"
1598,"{'ALANDERSON(NRBQBAND)|GENRE|ROCKMUSIC', 'ALANDERSON(NRBQBAND)|INSTRUMENT|SINGING', 'ALANDERSON(NRBQBAND)|ASSOCIATEDBAND/ASSOCIATEDMUSICALARTIST|NRBQ'}"
1638,"{'ALCORS-3|POWERTYPE|DIESEL-ELECTRICTRANSMISSION', 'ALCORS-3|BUILDER|MONTREALLOCOMOTIVEWORKS'}"
1640,"{'ALCORS-3|POWERTYPE|DIESEL-ELECTRICTRANSMISSION', 'ALCORS-3|BUILDER|MONTREALLOCOMOTIVEWORKS'}"
1642,"{'ALCORS-3|POWERTYPE|DIESEL-ELECTRICTRANSMISSION', 'ALCORS-3|BUILDER|MONTREALLOCOMOTIVEWORKS'}"
1646,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|COUNTRY|UNITEDSTATES'}"
1648,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|COUNTRY|UNITEDSTATES'}"
1650,"{'ARLINGTON,TEXAS|ISPARTOF|TEXAS', 'TEXAS|COUNTRY|UNITEDSTATES'}"
1744,"{'BAKSO|COUNTRY|INDONESIA', 'INDONESIA|LEADERNAME|JOKOWIDODO'}"
1746,"{'BAKSO|COUNTRY|INDONESIA', 'INDONESIA|LEADERNAME|JOKOWIDODO'}"
1776,"{'ALEKSEYCHIRIKOV(ICEBREAKER)|BUILDER|ARCTECHHELSINKISHIPYARD', 'ALEKSEYCHIRIKOV(ICEBREAKER)|BUILDER|HELSINKI', 'ALEKSEYCHIRIKOV(ICEBREAKER)|STATUS|INSERVICE', 'ALEKSEYCHIRIKOV(ICEBREAKER)|SHIPBEAM|21.2'}"
1778,"{'ALEKSEYCHIRIKOV(ICEBREAKER)|BUILDER|ARCTECHHELSINKISHIPYARD', 'ALEKSEYCHIRIKOV(ICEBREAKER)|BUILDER|HELSINKI', 'ALEKSEYCHIRIKOV(ICEBREAKER)|STATUS|INSERVICE', 'ALEKSEYCHIRIKOV(ICEBREAKER)|SHIPBEAM|21.2'}"
1798,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|POLYDORRECORDS', 'ALTERNATIVEROCK|MUSICFUSIONGENRE|NUMETAL', 'POLYDORRECORDS|LOCATION|LONDON', 'ANDREWWHITE(MUSICIAN)|GENRE|ALTERNATIVEROCK', 'ANDREWWHITE(MUSICIAN)|RECORDLABEL|B-UNIQUERECORDS'}"
1800,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|POLYDORRECORDS', 'ALTERNATIVEROCK|MUSICFUSIONGENRE|NUMETAL', 'POLYDORRECORDS|LOCATION|LONDON', 'ANDREWWHITE(MUSICIAN)|GENRE|ALTERNATIVEROCK', 'ANDREWWHITE(MUSICIAN)|RECORDLABEL|B-UNIQUERECORDS'}"
1802,"{'ANDREWWHITE(MUSICIAN)|RECORDLABEL|POLYDORRECORDS', 'ALTERNATIVEROCK|MUSICFUSIONGENRE|NUMETAL', 'POLYDORRECORDS|LOCATION|LONDON', 'ANDREWWHITE(MUSICIAN)|GENRE|ALTERNATIVEROCK', 'ANDREWWHITE(MUSICIAN)|RECORDLABEL|B-UNIQUERECORDS'}"
1920,"{'ALANSHEPARD|OCCUPATION|TESTPILOT', 'ALANSHEPARD|STATUS|DECEASED'}"
1922,"{'ALANSHEPARD|OCCUPATION|TESTPILOT', 'ALANSHEPARD|STATUS|DECEASED'}"
1924,"{'ALANSHEPARD|OCCUPATION|TESTPILOT', 'ALANSHEPARD|STATUS|DECEASED'}"
1950,"{'AFCAJAX(AMATEURS)|GROUND|SPORTPARKDETOEKOMST', 'SPORTPARKDETOEKOMST|TENANT|JONGAJAX'}"
1952,"{'AFCAJAX(AMATEURS)|GROUND|SPORTPARKDETOEKOMST', 'SPORTPARKDETOEKOMST|TENANT|JONGAJAX'}"
1954,"{'AFCAJAX(AMATEURS)|GROUND|SPORTPARKDETOEKOMST', 'SPORTPARKDETOEKOMST|TENANT|JONGAJAX'}"
1956,"{'ALEKSANDRCHUMAKOV|BIRTHPLACE|SOVIETUNION', 'ALEKSANDRCHUMAKOV|DEATHPLACE|RUSSIA', 'RUSSIA|LEADERNAME|VLADIMIRPUTIN'}"
1958,"{'ALEKSANDRCHUMAKOV|BIRTHPLACE|SOVIETUNION', 'ALEKSANDRCHUMAKOV|DEATHPLACE|RUSSIA', 'RUSSIA|LEADERNAME|VLADIMIRPUTIN'}"
1960,"{'ALEKSANDRCHUMAKOV|BIRTHPLACE|SOVIETUNION', 'ALEKSANDRCHUMAKOV|DEATHPLACE|RUSSIA', 'RUSSIA|LEADERNAME|VLADIMIRPUTIN'}"
2016,"{'ENAIRE|LOCATIONCITY|MADRID', 'ADOLFOSUAREZMADRID-BARAJASAIRPORT|OPERATINGORGANISATION|ENAIRE', 'MADRID|COUNTRY|SPAIN', 'ADOLFOSUAREZMADRID-BARAJASAIRPORT|LOCATION|MADRID,PARACUELLOSDEJARAMA,SANSEBASTIANDELOSREYESANDALCOBENDAS'}"
2018,"{'ENAIRE|LOCATIONCITY|MADRID', 'ADOLFOSUAREZMADRID-BARAJASAIRPORT|OPERATINGORGANISATION|ENAIRE', 'MADRID|COUNTRY|SPAIN', 'ADOLFOSUAREZMADRID-BARAJASAIRPORT|LOCATION|MADRID,PARACUELLOSDEJARAMA,SANSEBASTIANDELOSREYESANDALCOBENDAS'}"
2020,"{'ENAIRE|LOCATIONCITY|MADRID', 'ADOLFOSUAREZMADRID-BARAJASAIRPORT|OPERATINGORGANISATION|ENAIRE', 'MADRID|COUNTRY|SPAIN', 'ADOLFOSUAREZMADRID-BARAJASAIRPORT|LOCATION|MADRID,PARACUELLOSDEJARAMA,SANSEBASTIANDELOSREYESANDALCOBENDAS'}"
2068,{'ALFREDMOORESCALES|ACTIVEYEARSSTARTDATE|1875-03-04'}
2158,"{'BATAGOR|DISHVARIATION|SHUMAI', 'SHUMAI|INGREDIENT|SHIITAKE'}"
2160,"{'BATAGOR|DISHVARIATION|SHUMAI', 'SHUMAI|INGREDIENT|SHIITAKE'}"
2162,"{'BATAGOR|DISHVARIATION|SHUMAI', 'SHUMAI|INGREDIENT|SHIITAKE'}"
2188,"{'ALBUQUERQUE,NEWMEXICO|ISPARTOF|NEWMEXICO', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
2190,"{'ALBUQUERQUE,NEWMEXICO|ISPARTOF|NEWMEXICO', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
2192,"{'ALBUQUERQUE,NEWMEXICO|ISPARTOF|NEWMEXICO', 'UNITEDSTATES|LANGUAGE|ENGLISHLANGUAGE', 'UNITEDSTATES|LEADERTITLE|PRESIDENTOFTHEUNITEDSTATES', 'ALBUQUERQUE,NEWMEXICO|COUNTRY|UNITEDSTATES'}"
2198,"{'BUZZALDRIN|AWARDS|20', 'BUZZALDRIN|WASACREWMEMBEROF|APOLLO11', 'BUZZALDRIN|BIRTHNAME|EDWINEUGENEALDRINJR.', 'APOLLO11|OPERATOR|NASA'}"
2206,"{'ALBANY,OREGON|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
2208,"{'ALBANY,OREGON|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
2210,"{'ALBANY,OREGON|ISPARTOF|UNITEDSTATES', 'UNITEDSTATES|CAPITAL|WASHINGTON,D.C.'}"
2354,"{'ALANBEAN|WASACREWMEMBEROF|APOLLO12', 'ALANBEAN|OCCUPATION|TESTPILOT', 'APOLLO12|OPERATOR|NASA', 'ALANBEAN|BIRTHPLACE|WHEELER,TEXAS', 'APOLLO12|BACKUPPILOT|ALFREDWORDEN', 'APOLLO12|COMMANDER|DAVIDSCOTT', 'ALANBEAN|NATIONALITY|UNITEDSTATES'}"
2356,"{'ALANBEAN|WASACREWMEMBEROF|APOLLO12', 'ALANBEAN|OCCUPATION|TESTPILOT', 'APOLLO12|OPERATOR|NASA', 'ALANBEAN|BIRTHPLACE|WHEELER,TEXAS', 'APOLLO12|BACKUPPILOT|ALFREDWORDEN', 'APOLLO12|COMMANDER|DAVIDSCOTT', 'ALANBEAN|NATIONALITY|UNITEDSTATES'}"
2358,"{'ALANBEAN|WASACREWMEMBEROF|APOLLO12', 'ALANBEAN|OCCUPATION|TESTPILOT', 'APOLLO12|OPERATOR|NASA', 'ALANBEAN|BIRTHPLACE|WHEELER,TEXAS', 'APOLLO12|BACKUPPILOT|ALFREDWORDEN', 'APOLLO12|COMMANDER|DAVIDSCOTT', 'ALANBEAN|NATIONALITY|UNITEDSTATES'}"
